@iter: 399, score: 122, epsilon: 0.02
@iter: 400, score: 125, epsilon: 0.02
@iter: 401, score: 157, epsilon: 0.02
@iter: 402, score: 199, epsilon: 0.02
@iter: 403, score: 112, epsilon: 0.02
@iter: 404, score: 138, epsilon: 0.02
@iter: 405, score: 181, epsilon: 0.02
@iter: 406, score: 115, epsilon: 0.02
@iter: 407, score: 127, epsilon: 0.02
@iter: 408, score: 125, epsilon: 0.02
@iter: 409, score: 127, epsilon: 0.02
@iter: 410, score: 122, epsilon: 0.02
@iter: 411, score: 111, epsilon: 0.02
@iter: 412, score: 123, epsilon: 0.02
@iter: 413, score: 129, epsilon: 0.02
@iter: 414, score: 96, epsilon: 0.02
@iter: 415, score: 117, epsilon: 0.02
@iter: 416, score: 117, epsilon: 0.02
@iter: 417, score: 110, epsilon: 0.02
@iter: 418, score: 141, epsilon: 0.01
@iter: 419, score: 113, epsilon: 0.01
@iter: 420, score: 130, epsilon: 0.01
@iter: 421, score: 101, epsilon: 0.01
@iter: 422, score: 118, epsilon: 0.01
@iter: 423, score: 108, epsilon: 0.01
@iter: 424, score: 133, epsilon: 0.01
@iter: 425, score: 91, epsilon: 0.01
@iter: 426, score: 199, epsilon: 0.01
@iter: 427, score: 198, epsilon: 0.01
@iter: 428, score: 192, epsilon: 0.01
@iter: 429, score: 155, epsilon: 0.01
@iter: 430, score: 199, epsilon: 0.01
@iter: 431, score: 175, epsilon: 0.01
@iter: 432, score: 154, epsilon: 0.01
@iter: 433, score: 152, epsilon: 0.01
@iter: 434, score: 143, epsilon: 0.01
@iter: 435, score: 199, epsilon: 0.01
@iter: 436, score: 16, epsilon: 0.01
@iter: 437, score: 20, epsilon: 0.01
@iter: 438, score: 52, epsilon: 0.01
@iter: 439, score: 66, epsilon: 0.01
@iter: 440, score: 16, epsilon: 0.01
@iter: 441, score: 191, epsilon: 0.01
@iter: 442, score: 199, epsilon: 0.01
@iter: 443, score: 158, epsilon: 0.01
@iter: 444, score: 153, epsilon: 0.01
@iter: 445, score: 91, epsilon: 0.01
@iter: 446, score: 144, epsilon: 0.01
@iter: 447, score: 90, epsilon: 0.01
@iter: 448, score: 86, epsilon: 0.01
@iter: 449, score: 86, epsilon: 0.01
@iter: 450, score: 91, epsilon: 0.01
@iter: 451, score: 183, epsilon: 0.01
@iter: 452, score: 144, epsilon: 0.01
@iter: 453, score: 111, epsilon: 0.01
@iter: 454, score: 99, epsilon: 0.01
@iter: 455, score: 105, epsilon: 0.01
@iter: 456, score: 101, epsilon: 0.01
@iter: 457, score: 113, epsilon: 0.01
@iter: 458, score: 127, epsilon: 0.01
@iter: 459, score: 105, epsilon: 0.01
@iter: 460, score: 94, epsilon: 0.01
@iter: 461, score: 102, epsilon: 0.01
@iter: 462, score: 107, epsilon: 0.01
@iter: 463, score: 106, epsilon: 0.01
@iter: 464, score: 94, epsilon: 0.01
